feature,importance,feature_type,importance_rank,importance_percentile
emb_293,0.00241608,embedding,175.0,0.44191919191919193
emb_25,0.002415604,embedding,176.0,0.4444444444444444
emb_137,0.0024108738,embedding,177.0,0.44696969696969696
emb_178,0.0024089343,embedding,178.0,0.4494949494949495
emb_322,0.0024017855,embedding,179.0,0.45202020202020204
emb_91,0.0023966327,embedding,180.0,0.45454545454545453
emb_41,0.0023961512,embedding,181.0,0.45707070707070707
emb_316,0.0023949693,embedding,182.0,0.4595959595959596
emb_89,0.0023924368,embedding,183.0,0.4621212121212121
emb_142,0.0023920308,embedding,184.0,0.46464646464646464
emb_203,0.0023919267,embedding,185.0,0.4671717171717172
emb_168,0.0023877337,embedding,186.0,0.4696969696969697
emb_148,0.0023849728,embedding,187.0,0.4722222222222222
emb_323,0.002384944,embedding,188.0,0.47474747474747475
emb_303,0.0023848698,embedding,189.0,0.4772727272727273
emb_246,0.0023840393,embedding,190.0,0.4797979797979798
emb_367,0.002381147,embedding,191.0,0.4823232323232323
emb_133,0.002379201,embedding,192.0,0.48484848484848486
emb_114,0.002378185,embedding,193.0,0.48737373737373735
emb_362,0.00237681,embedding,194.0,0.4898989898989899
emb_247,0.0023758234,embedding,195.0,0.49242424242424243
emb_106,0.0023752348,embedding,196.0,0.494949494949495
emb_350,0.0023730476,embedding,197.0,0.49747474747474746
emb_376,0.0023717743,embedding,198.0,0.5
emb_295,0.0023655377,embedding,199.0,0.5025252525252525
emb_306,0.0023589856,embedding,200.0,0.5050505050505051
emb_288,0.0023552494,embedding,201.0,0.5075757575757576
emb_248,0.002353047,embedding,202.0,0.51010101010101
emb_189,0.002350014,embedding,203.0,0.5126262626262627
emb_66,0.0023483208,embedding,204.0,0.5151515151515151
emb_94,0.0023469238,embedding,205.0,0.5176767676767676
emb_287,0.0023456602,embedding,206.0,0.5202020202020202
emb_11,0.0023444737,embedding,207.0,0.5227272727272727
emb_212,0.002343236,embedding,208.0,0.5252525252525253
emb_159,0.0023422663,embedding,209.0,0.5277777777777778
emb_40,0.0023390357,embedding,210.0,0.5303030303030303
emb_215,0.00233818,embedding,211.0,0.5328282828282829
emb_351,0.002335508,embedding,212.0,0.5353535353535354
emb_200,0.002334202,embedding,213.0,0.5378787878787878
emb_17,0.0023336923,embedding,214.0,0.5404040404040404
emb_43,0.0023331498,embedding,215.0,0.5429292929292929
emb_290,0.0023322548,embedding,216.0,0.5454545454545454
emb_218,0.002331862,embedding,217.0,0.547979797979798
emb_81,0.002331168,embedding,218.0,0.5505050505050505
emb_139,0.0023289674,embedding,219.0,0.553030303030303
emb_136,0.0023204081,embedding,220.0,0.5555555555555556
emb_52,0.0023194815,embedding,221.0,0.5580808080808081
emb_286,0.0023194673,embedding,222.0,0.5606060606060606
emb_261,0.002319358,embedding,223.0,0.5631313131313131
emb_298,0.0023187557,embedding,224.0,0.5656565656565656
emb_192,0.0023181788,embedding,225.0,0.5681818181818182
emb_345,0.00231734,embedding,226.0,0.5707070707070707
emb_63,0.0023167424,embedding,227.0,0.5732323232323232
emb_338,0.0023116006,embedding,228.0,0.5757575757575758
emb_374,0.0023112204,embedding,229.0,0.5782828282828283
emb_112,0.0023081114,embedding,230.0,0.5808080808080808
emb_363,0.002307807,embedding,231.0,0.5833333333333334
emb_275,0.0023069724,embedding,232.0,0.5858585858585859
emb_117,0.002304883,embedding,233.0,0.5883838383838383
emb_365,0.0023041675,embedding,234.0,0.5909090909090909
emb_219,0.0023009786,embedding,235.0,0.5934343434343434
emb_282,0.0022995707,embedding,236.0,0.5959595959595959
emb_347,0.0022995232,embedding,237.0,0.5984848484848485
emb_271,0.0022994636,embedding,238.0,0.601010101010101
emb_162,0.0022937495,embedding,239.0,0.6035353535353535
emb_56,0.002290436,embedding,240.0,0.6060606060606061
emb_84,0.0022898724,embedding,241.0,0.6085858585858586
emb_276,0.002288087,embedding,242.0,0.6111111111111112
emb_111,0.0022872968,embedding,243.0,0.6136363636363636
emb_181,0.0022868395,embedding,244.0,0.6161616161616161
emb_262,0.0022831394,embedding,245.0,0.6186868686868687
emb_175,0.0022819866,embedding,246.0,0.6212121212121212
emb_279,0.0022808933,embedding,247.0,0.6237373737373737
emb_377,0.0022797904,embedding,248.0,0.6262626262626263
emb_308,0.0022773359,embedding,249.0,0.6287878787878788
emb_145,0.0022756087,embedding,250.0,0.6313131313131313
emb_216,0.002274482,embedding,251.0,0.6338383838383839
emb_164,0.0022739784,embedding,252.0,0.6363636363636364
emb_113,0.0022730862,embedding,253.0,0.6388888888888888
emb_179,0.0022714736,embedding,254.0,0.6414141414141414
emb_190,0.0022700576,embedding,255.0,0.6439393939393939
emb_349,0.0022676361,embedding,256.0,0.6464646464646465
emb_119,0.0022627662,embedding,257.0,0.648989898989899
emb_255,0.0022616494,embedding,258.0,0.6515151515151515
emb_297,0.0022616296,embedding,259.0,0.6540404040404041
emb_234,0.0022587199,embedding,260.0,0.6565656565656566
emb_97,0.0022585213,embedding,261.0,0.6590909090909091
emb_74,0.0022561848,embedding,262.0,0.6616161616161617
emb_191,0.002254302,embedding,263.0,0.6641414141414141
emb_201,0.0022536998,embedding,264.0,0.6666666666666666
emb_19,0.0022522477,embedding,265.0,0.6691919191919192
emb_73,0.0022493126,embedding,266.0,0.6717171717171717
emb_23,0.0022471307,embedding,267.0,0.6742424242424242
emb_260,0.0022462977,embedding,268.0,0.6767676767676768
emb_289,0.0022456786,embedding,269.0,0.6792929292929293
emb_4,0.0022455456,embedding,270.0,0.6818181818181818
emb_211,0.0022416585,embedding,271.0,0.6843434343434344
